timestamp,model,input_tokens,output_tokens,input_cost,output_cost,total_cost,latency_ms,success,error
2026-01-29T16:44:43.119978,nemotron,918,733,0.000000,0.000000,0.000000,5331.73,True,
2026-01-29T16:44:53.741998,nemotron,1114,404,0.000000,0.000000,0.000000,10621.22,True,
2026-01-29T16:45:27.566337,nemotron,1214,628,0.000000,0.000000,0.000000,33823.16,True,
2026-01-29T16:45:34.115262,nemotron,1050,877,0.000000,0.000000,0.000000,6548.04,True,
2026-01-29T16:45:41.133479,nemotron,1148,380,0.000000,0.000000,0.000000,7017.32,True,
2026-01-29T16:45:46.609802,nemotron,978,202,0.000000,0.000000,0.000000,5475.48,True,
2026-01-29T16:45:57.738199,nemotron,1062,323,0.000000,0.000000,0.000000,11126.62,True,
2026-01-29T16:46:10.618487,nemotron,928,434,0.000000,0.000000,0.000000,12879.50,True,
2026-01-29T16:46:25.973340,nemotron,990,419,0.000000,0.000000,0.000000,15353.98,True,
2026-01-29T16:46:31.051087,nemotron,476,205,0.000000,0.000000,0.000000,5077.26,True,
2026-01-29T16:46:58.392577,gemma,285,1321,0.000000,0.000000,0.000000,27339.57,True,
2026-01-29T16:47:03.234974,nemotron,288,0,0.000000,0.000000,0.000000,4839.29,True,
2026-01-29T16:47:28.631553,gemma,325,1242,0.000000,0.000000,0.000000,25395.37,True,
2026-01-29T16:47:29.652269,nemotron,755,5,0.000000,0.000000,0.000000,1016.48,True,
2026-01-29T16:47:48.772713,gemma,636,38,0.000000,0.000000,0.000000,19119.72,True,
2026-01-29T16:47:53.585440,nemotron,288,0,0.000000,0.000000,0.000000,4803.62,True,
2026-01-29T16:48:19.482457,gemma,325,1021,0.000000,0.000000,0.000000,25895.83,True,
2026-01-29T16:48:25.451919,nemotron,1592,267,0.000000,0.000000,0.000000,5963.73,True,
2026-01-29T16:48:56.284014,gemma,285,1405,0.000000,0.000000,0.000000,30830.39,True,
2026-01-29T16:49:01.579982,nemotron,288,0,0.000000,0.000000,0.000000,5291.21,True,
2026-01-29T16:49:20.951110,gemma,325,1011,0.000000,0.000000,0.000000,19370.04,True,
2026-01-29T16:49:22.163310,nemotron,755,5,0.000000,0.000000,0.000000,1209.55,True,
2026-01-29T16:49:31.305281,gemma,636,38,0.000000,0.000000,0.000000,9140.57,True,
2026-01-29T16:49:36.168510,nemotron,288,31,0.000000,0.000000,0.000000,4859.54,True,
2026-01-29T16:49:59.642330,gemma,325,1242,0.000000,0.000000,0.000000,23472.36,True,
2026-01-29T16:50:04.659156,nemotron,1948,273,0.000000,0.000000,0.000000,5011.35,True,
2026-01-29T16:50:32.969993,gemma,285,1389,0.000000,0.000000,0.000000,28309.29,True,
2026-01-29T16:50:38.962782,nemotron,288,0,0.000000,0.000000,0.000000,5989.68,True,
2026-01-29T16:51:05.947503,gemma,325,1334,0.000000,0.000000,0.000000,26983.70,True,
2026-01-29T16:51:07.327867,nemotron,755,5,0.000000,0.000000,0.000000,1377.34,True,
2026-01-29T16:51:14.186387,gemma,636,38,0.000000,0.000000,0.000000,6857.52,True,
2026-01-29T16:51:20.146800,nemotron,288,0,0.000000,0.000000,0.000000,5959.48,True,
2026-01-29T16:51:46.957742,gemma,325,1199,0.000000,0.000000,0.000000,26809.69,True,
2026-01-29T16:51:52.382994,nemotron,1882,308,0.000000,0.000000,0.000000,5420.94,True,
2026-01-29T16:52:17.960739,gemma,285,1382,0.000000,0.000000,0.000000,25576.57,True,
2026-01-29T16:52:24.231536,nemotron,288,0,0.000000,0.000000,0.000000,6265.09,True,
2026-01-29T16:52:42.869290,gemma,325,1170,0.000000,0.000000,0.000000,18636.75,True,
2026-01-29T16:52:43.897419,nemotron,755,5,0.000000,0.000000,0.000000,1023.69,True,
2026-01-29T16:52:51.658517,gemma,636,38,0.000000,0.000000,0.000000,7760.35,True,
2026-01-29T16:52:56.487720,nemotron,288,0,0.000000,0.000000,0.000000,4823.63,True,
2026-01-29T16:53:20.758446,gemma,325,1329,0.000000,0.000000,0.000000,24269.53,True,
2026-01-29T16:53:27.619127,nemotron,2028,378,0.000000,0.000000,0.000000,6857.10,True,
2026-01-29T16:53:52.806978,gemma,285,1203,0.000000,0.000000,0.000000,25186.25,True,
